Country,Index,,,
Panama,86,,,
Thailand,85,,,
Japan,85,,,
Denmark,83,,,
Taiwan,82,,,
South Korea,82,,,
France,82,,, 
Malta,81,,,
Sri Lanka,81,,,
Hong Kong,80,,,
Austria,78,,,
Belgium,78,,,
Israel,77,,,
Sweden,77,,,
Cyprus,77,,,
Georgia,77,,,
Germany,77,,,
Dominican Republic,76,,,
Norway,75,,,
Argentina,75,,,
Qatar,75,,,
Spain,74,,,
Jordan,74,,,
New Zealand,74,,,
Philippines,73,,,
United Kingdom,73,,,
Canada,72,,,
Australia,72,,,
Estonia,72,,,
Lithuania,70,,,
Mexico,70,,,
Finland,69,,,
Malaysia,69,,,
United States,68,,,
Switzerland,68,,,
Uruguay,68,,,
Colombia,68,,,
Albania,67,,,
Netherlands,67,,,
Czech Republic,66,,,
Portugal,66,,,
Italy,66,,,
Latvia,65,,,
Kuwait,64,,,
Indonesia,64,,,
India,64,,,
Nepal,63,,,
Ecuador,63,,,
Singapore,63,,,
China,61,,,
Lebanon,61,,,
South Africa,61,,,
Chile,61,,,
Turkey,60,,,
Peru,60,,,
Bulgaria,60,,,
Puerto Rico,59,,,
Morocco,59,,,
United Arab Emirates,59,,,
Slovakia,59,,,
Kazakhstan,59,,,
Egypt,58,,,
Greece,58,,,
Croatia,58,,,
Kenya,57,,,
Montenegro,57,,,
Slovenia,56,,,
Costa Rica,56,,,
Serbia,55,,,
Bosnia And Herzegovina,54,,,
Poland,54,,,
Cambodia,54,,,
Moldova,54,,,
Saudi Arabia,53,,,
Russia,53,,,
Pakistan,52,,,
Iceland,51,,,
Brazil,51,,,
Iran,50,,,
Hungary,50,,,
Oman,48,,,
Belarus,48,,,
Ukraine,47,,,
Ireland,47,,,
Romania,47,,,
Bolivia,46,,,
Nigeria,46,,,
Trinidad And Tobago,45,,,
Venezuela,43,,,
Vietnam,35,,,
Macedonia,33,,,
Iraq,30,,,
Mongolia,27,,,
Azerbaijan,27,,,
